acid_flow,acetate_flow,water_flow,total_flow,flow_ratio_acetate_acid,log10_flow_ratio_acetate_acid,water_fraction,buffer_flow_fraction,acid_analytical_mol_l,acetate_analytical_mol_l,total_buffer_mol_l,sodium_mol_l,ph_equilibrium_charge_balance,ph_equilibrium_affine
2.0,1.0,9.0,12.0,0.5,-0.3010299956639812,0.75,0.25,0.016666666666666666,0.008333333333333333,0.025,0.008333333333333333,4.461667355068495,4.185505740545102
2.0,1.0,10.0,13.0,0.5,-0.3010299956639812,0.7692307692307693,0.23076923076923078,0.015384615384615385,0.007692307692307693,0.023076923076923078,0.007692307692307693,4.461890385317265,4.185682138080624
2.0,2.0,1.0,5.0,1.0,0.0,0.2,0.8,0.04,0.04,0.08,0.04,4.760377018723036,4.421759113332517
2.0,2.0,2.0,6.0,1.0,0.0,0.3333333333333333,0.6666666666666666,0.03333333333333333,0.03333333333333333,0.06666666666666667,0.03333333333333333,4.760452344018065,4.421818689091765
2.0,2.0,3.0,7.0,1.0,0.0,0.42857142857142855,0.5714285714285714,0.028571428571428574,0.028571428571428574,0.05714285714285715,0.028571428571428574,4.760527643260291,4.4218782442455105
2.0,2.0,4.0,8.0,1.0,0.0,0.5,0.5,0.025,0.025,0.05,0.025,4.760602916541205,4.421937778866115
2.0,2.0,5.0,9.0,1.0,0.0,0.5555555555555556,0.4444444444444444,0.022222222222222223,0.022222222222222223,0.044444444444444446,0.022222222222222223,4.760678163932842,4.421997293010553
2.0,2.0,6.0,10.0,1.0,0.0,0.6,0.4,0.02,0.02,0.04,0.02,4.760753385474143,4.422056786709622
2.0,2.0,7.0,11.0,1.0,0.0,0.6363636363636364,0.36363636363636365,0.018181818181818184,0.018181818181818184,0.03636363636363637,0.018181818181818184,4.760828581179091,4.422116259974383
2.0,2.0,8.0,12.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.016666666666666666,0.016666666666666666,0.03333333333333333,0.016666666666666666,4.760903751048075,4.422175712805143
2.0,2.0,9.0,13.0,1.0,0.0,0.6923076923076923,0.3076923076923077,0.015384615384615385,0.015384615384615385,0.03076923076923077,0.015384615384615385,4.760978895076256,4.422235145198075
2.0,2.0,10.0,14.0,1.0,0.0,0.7142857142857143,0.2857142857142857,0.014285714285714287,0.014285714285714287,0.028571428571428574,0.014285714285714287,4.7610540132584935,4.422294557149111
2.0,3.0,1.0,6.0,1.5,0.17609125905568124,0.16666666666666666,0.8333333333333334,0.03333333333333333,0.05000000000000001,0.08333333333333334,0.05000000000000001,4.936342680772996,4.560932652766958
2.0,3.0,2.0,7.0,1.5,0.17609125905568124,0.2857142857142857,0.7142857142857143,0.028571428571428574,0.042857142857142864,0.07142857142857144,0.042857142857142864,4.936384559187747,4.560965774951928
2.0,3.0,3.0,8.0,1.5,0.17609125905568124,0.375,0.625,0.025,0.037500000000000006,0.0625,0.037500000000000006,4.936426430309421,4.560998891368708
2.0,3.0,4.0,9.0,1.5,0.17609125905568124,0.4444444444444444,0.5555555555555556,0.022222222222222223,0.03333333333333334,0.055555555555555566,0.03333333333333334,4.936468294151444,4.561032002027917
2.0,3.0,5.0,10.0,1.5,0.17609125905568124,0.5,0.5,0.02,0.030000000000000006,0.05,0.030000000000000006,4.93651015072266,4.56106510693655
2.0,3.0,6.0,11.0,1.5,0.17609125905568124,0.5454545454545454,0.45454545454545453,0.018181818181818184,0.02727272727272728,0.04545454545454546,0.02727272727272728,4.936552000029584,4.56109820609976
2.0,3.0,7.0,12.0,1.5,0.17609125905568124,0.5833333333333334,0.4166666666666667,0.016666666666666666,0.025000000000000005,0.04166666666666667,0.025000000000000005,4.936593842077451,4.561131299521686
2.0,3.0,8.0,13.0,1.5,0.17609125905568124,0.6153846153846154,0.38461538461538464,0.015384615384615385,0.02307692307692308,0.038461538461538464,0.02307692307692308,4.936635676870744,4.561164387205876
