cycle,target_ph,is_test,steps,mean_ph,mean_abs_error,rmse,max_abs_error,reward_sum,squared_error_cost_sum,absolute_error_cost_sum,move_cost_sum,total_cost_sum,train_updates
69,4.913270950317383,False,400,4.91323657601539,0.0087655167461298,0.0109854827718965,0.0310159641969178,-3.5747369327551355,0.0482723326926545,3.5062066984519253,2.025790161055568,3.5747369327551355,400
70,4.921473503112793,False,400,4.91963002713794,0.0086985594592972,0.0107895742777462,0.0341032038362634,-3.536530063602933,0.0465659652380009,3.4794237837188997,1.0540314646033302,3.536530063602933,400
71,4.792342662811279,False,400,4.790872524033387,0.0084317398471767,0.0105829614480488,0.034691264474727,-3.4315958154941746,0.0447996292043553,3.372695938870687,1.410024741913187,3.4315958154941746,400
72,4.799359321594238,False,400,4.798162685048916,0.0090345437096538,0.0113896192799961,0.0344021393545732,-3.6792793923712592,0.0518893709373037,3.61381748386152,1.3572537572435606,3.6792793923712592,400
73,4.75087308883667,False,400,4.751131528556472,0.00843341308007,0.0106015286242058,0.0375278196395854,-3.4299354462332685,0.0449569636679424,3.373365232028031,1.1613250537295066,3.4299354462332685,400
74,4.569960594177246,False,400,4.568689785577677,0.007512485128303,0.0096830948012863,0.0283939608595513,-3.0535777412054674,0.0375049299722797,3.0049940513212148,1.1078759911972789,3.0535777412054674,400
75,4.51329231262207,False,400,4.529405852015829,0.0163557133194606,0.0185604094630806,0.0411982525990817,-6.68657123475609,0.1377955197748848,6.542285327784263,0.6490387196942393,6.68657123475609,400
76,4.707491397857666,False,400,4.709830874521013,0.0089707709412918,0.0110625247885974,0.033106389671742,-3.6513081815193655,0.0489517818793336,3.5883083765167543,1.404802312327746,3.6513081815193655,400
77,4.945276260375977,False,400,4.945338433726931,0.009390802924039,0.0121783445100193,0.0479839870504799,-3.829146766034278,0.059324830001887,3.756321169615638,1.350076641675301,3.829146766034278,400
78,4.692606925964356,False,400,4.695571602467569,0.0083200369630311,0.0107370147530851,0.0595043550364016,-3.394495267235497,0.0461133943231874,3.328014785212454,2.036708769985488,3.394495267235497,400
79,4.4681077003479,False,400,4.5131974527398455,0.0450897523919453,0.0460309044536411,0.0747799597382581,-18.89252009489454,0.8475376659280949,18.03590095677814,0.9081472188306136,18.89252009489454,400
80,4.593432426452637,False,400,4.581558731151652,0.0140176216546589,0.0167255018490509,0.0443522438496586,-5.726682406675648,0.1118969648410424,5.607048661863584,0.7736779971021619,5.726682406675648,400
81,4.986466407775879,False,400,4.988907878194888,0.0083201476871266,0.0104891830026201,0.0288336896424254,-3.394279307062111,0.0440091840249819,3.3280590748506444,2.2211048186484312,3.394279307062111,400
82,4.601124286651611,False,400,4.596180624529758,0.0095436613864569,0.011926023553196,0.032105744285686,-3.901151125741357,0.0568920151165551,3.8174645545827888,2.679455604201351,3.901151125741357,400
83,4.875931262969971,False,400,4.878029919877125,0.0087263822398864,0.0108751157654373,0.0377275457008945,-3.558538960819073,0.0473072571646655,3.4905528959545613,2.067880769984619,3.558538960819073,400
84,4.966358184814453,False,400,4.9657645366913306,0.0094666863043158,0.0118979301456577,0.0401044944813939,-3.852488520765669,0.0566242967003804,3.786674521726343,0.9189702338946296,3.852488520765669,400
85,4.555246353149414,False,400,4.556168549486661,0.0081049420103502,0.0100650128581529,0.0285003585910725,-3.3103617001372343,0.0405217935339134,3.241976804140097,2.786310246322373,3.3103617001372343,400
86,4.472339153289795,False,400,4.508111514111564,0.0357723608217695,0.0368605241638944,0.0650556293993975,-14.858852242297823,0.543479296654819,14.308944328707824,0.642861693518114,14.858852242297823,400
87,4.501340866088867,False,400,4.517603541366234,0.0165968526421992,0.0187872586184993,0.0407161262269415,-6.787120712814708,0.1411844345593509,6.6387410568796925,0.7195221375665177,6.787120712814708,400
88,4.980861663818359,False,400,4.982975648472078,0.00871269635434,0.0111213050924104,0.040801025969456,-3.563278543915863,0.0494733707833894,3.485078541736025,2.8726631396447893,3.563278543915863,400
89,4.745984077453613,False,400,4.74809817021091,0.0090460568603358,0.0117092408789611,0.0767593031674396,-3.69761626713781,0.0548425287846138,3.6184227441343433,2.4350994218852837,3.69761626713781,400
90,4.837399482727051,False,400,4.841626769613869,0.0106211481070303,0.0133384584479515,0.0631637032030321,-4.3395033418538045,0.0711657895070916,4.248459242812144,1.987830953456883,4.3395033418538045,400
91,4.735336780548096,False,400,4.734522708592604,0.008882242736577,0.0115272729410476,0.0643467988895132,-3.6230346705044303,0.0531512085829632,3.5528970946308096,1.6986367290657554,3.6230346705044303,400
92,5.050400257110596,False,400,5.024132391266307,0.0262765821361899,0.028022060524524,0.0613970905198675,-10.842776254074376,0.3140943504160359,10.510632854475997,1.8049049182343035,10.842776254074376,400
93,4.997978210449219,False,400,4.998629860337967,0.0080448019119777,0.0099122040421469,0.0338806711384407,-3.265411449445964,0.0393007155892613,3.2179207647910824,0.8189969065620204,3.265411449445964,400
94,4.927961349487305,False,400,4.929650222968478,0.0081945622362945,0.0101072185781762,0.0332007868002905,-3.328504948553187,0.0408623469548121,3.2778248945178365,0.9817707080538228,3.328504948553187,400
95,4.574737548828125,False,400,4.565112965397344,0.0119468725920673,0.0144964523193144,0.0447761534069561,-4.889297634791223,0.0840588519384631,4.7787490368269285,2.6489746025831096,4.889297634791223,400
96,4.732624530792236,False,400,4.732691363771685,0.0096791570339466,0.0123375539370928,0.0432593787090809,-3.95613162644114,0.0608860948602701,3.8716628135786566,2.3582718002213454,3.95613162644114,400
97,4.479681491851807,False,400,4.503045841501257,0.0233854720083628,0.0250185477659552,0.0524982370260378,-9.61714006829633,0.2503710929269528,9.354188803345156,1.2580172024220424,9.61714006829633,400
98,4.670158863067627,False,400,4.666150357768338,0.0093646930168567,0.0114738948690077,0.0288589135300902,-3.815371304910218,0.0526601053860169,3.745877206742709,1.6833992781492748,3.815371304910218,400
99,5.029332160949707,False,400,5.025112255320514,0.0080236352091292,0.0100096648659245,0.0311809490757504,-3.269504287710318,0.0400773562912498,3.2094540836516874,1.997284776738102,3.269504287710318,400
100,4.517995357513428,False,400,4.51633966453735,0.0079370601368639,0.0099540375994682,0.0272752005746603,-3.2458749121096244,0.0396331458126508,3.174824054745565,3.141771155140788,3.2458749121096244,400
101,5.007728099822998,False,400,5.01402907934963,0.0095822748941504,0.0118823062205088,0.0317611588826398,-3.927594183668236,0.0564756804471771,3.832909957660189,3.820854556086971,3.927594183668236,400
102,4.508594512939453,False,400,4.512218673249703,0.0082069656066793,0.0101428010301829,0.0255109676283034,-3.356640303148246,0.041150565095152,3.28278624267175,3.270349538134397,3.356640303148246,400
103,4.461980819702148,False,400,4.490447457010792,0.0284666373086428,0.0299046105580369,0.0515757915168704,-11.751618472323056,0.3577142930511426,11.386654923457156,0.724925581475766,11.751618472323056,400
104,4.581861972808838,False,400,4.568679516689105,0.0145150724549517,0.017391944939959,0.044605483820578,-5.934152995533911,0.1209918995178264,5.806028981980718,0.7132114035366932,5.934152995533911,400
105,4.871460914611816,False,400,4.877920718904409,0.0099346235063881,0.0132064644557561,0.0922951168215133,-4.075951013708239,0.0697642813684597,3.9738494025552775,3.2337329784501243,4.075951013708239,400
106,5.023156642913818,False,400,5.020035414675425,0.0080222704377431,0.0101259126647881,0.0330079717287388,-3.259140420730453,0.0410136429179668,3.2089081750972417,0.9218602715244302,3.259140420730453,400
107,4.952313423156738,False,400,4.954717760185664,0.0082453190256039,0.0101996143488983,0.0318828292314758,-3.348022541193544,0.041612853146501,3.298127610241562,0.8282077805481016,3.348022541193544,400
108,4.701533794403076,False,400,4.703493306401995,0.0119675139417837,0.0156320045307523,0.0900119659857692,-4.931572473583486,0.0977438262597847,4.787005576713502,4.682307061020026,4.931572473583486,400
109,4.586443901062012,False,400,4.582757915635476,0.008969870373668,0.0114030283314989,0.0379272354038953,-3.6478228998369695,0.0520116220515872,3.587948149467219,0.7863128318163213,3.6478228998369695,400
110,5.059709548950195,False,400,5.041428966664681,0.0183353033824976,0.0204397525324101,0.0455886068740634,-7.530868840445887,0.1671133934344676,7.3341213529990545,2.9634094012365217,7.530868840445887,400
111,4.760849952697754,False,400,4.763265194334814,0.0117293289165086,0.0152013998020685,0.0690980389987085,-4.828826417076656,0.0924330223769321,4.69173156660345,4.466182809627366,4.828826417076656,400
112,5.021585464477539,False,400,5.0292232979461735,0.0096554786701908,0.0120062929328767,0.0345368963281345,-3.9344523007298777,0.0576604279960184,3.862191468076351,1.4600404657507973,3.9344523007298777,400
113,4.673976421356201,False,400,4.674058716457573,0.0093665724711781,0.0125148031365934,0.1026270170144929,-3.8495626958241473,0.0626481190190761,3.746628988471258,4.028558833381329,3.8495626958241473,400
114,4.904338836669922,False,400,4.913247059541979,0.0116141314086761,0.0146572451485098,0.0650545502392239,-4.752055330481897,0.0859339341374057,4.645652563470462,2.046883287402949,4.752055330481897,400
115,4.474503993988037,False,400,4.483912106663379,0.0107689133783885,0.0132064065976931,0.0542751134635288,-4.401165499080977,0.0697636700894368,4.307565351355435,2.383647763610533,4.401165499080977,400
116,4.879816055297852,False,400,4.883447633094609,0.0093169965507474,0.0114852873885523,0.0413791342411293,-3.811769783354217,0.0527647305590554,3.7267986202989993,3.2206432496162094,3.811769783354217,400
117,5.053867816925049,False,400,5.046540382662176,0.0089876241895006,0.0112562141386751,0.0318558418526091,-3.6539395856234265,0.0506809426942841,3.595049675800269,0.8208967128873859,3.6539395856234265,400
118,4.724599838256836,False,400,4.723942858637338,0.0097408025500692,0.0119390970693437,0.0340671564648529,-3.981295966673664,0.0570168155324846,3.896321020027688,2.7958131113491955,3.981295966673664,400
119,4.809966564178467,False,400,4.814157391959391,0.0086279681266137,0.0109447242593997,0.0376380597980503,-3.5117299281603738,0.0479147956457177,3.4511872506454964,1.2627881869159658,3.5117299281603738,400
120,4.909540176391602,False,400,4.913622933166431,0.0091318488102637,0.0113534510244182,0.0368600697726391,-3.712226105588351,0.0515603400655454,3.652739524105483,0.7926241417322366,3.712226105588351,400
121,4.680968761444092,False,400,4.680619742798573,0.0092500130181649,0.0117211888416928,0.0409362584038195,-3.7753889432457335,0.0549545071450504,3.70000520726596,2.0429228834722943,3.7753889432457335,400
122,4.533883094787598,False,400,4.517910724288401,0.0219681505037975,0.026084781170227,0.0611953088372789,-9.066811947210589,0.2721663234794524,8.787260201519011,0.7385422212121888,9.066811947210589,400
123,4.67928409576416,False,400,4.680358622832465,0.0083416865900384,0.0104740883619942,0.0379838896248116,-3.393186272059643,0.0438826108059451,3.3366746360153936,1.2629025238304168,3.393186272059643,400
124,4.977626323699951,True,400,5.020448504270102,0.042822180570151,0.0428280611041641,0.0430423809110775,-17.873224604369316,0.7336971271768067,17.128872228060406,1.0655249132102504,17.873224604369316,0
